"year_month","sum_web_purchases","sum_general_purchases","web_sales_percent"
"2012-08","5","43","11.63"
"2012-09","38","112","33.93"
"2012-10","59","144","40.97"
"2012-11","102","271","37.64"
"2012-12","59","201","29.35"
"2013-01","75","271","27.68"
"2013-02","113","295","38.31"
"2013-03","158","464","34.05"
"2013-04","205","564","36.35"
"2013-05","230","664","34.64"
"2013-06","204","606","33.66"
"2013-07","335","1042","32.15"
"2013-08","381","1190","32.02"
"2013-09","261","763","34.21"
"2013-10","395","1162","33.99"
"2013-11","435","1337","32.54"
"2013-12","460","1346","34.18"
"2014-01","403","1404","28.70"
"2014-02","517","1567","32.99"
"2014-03","530","1643","32.26"
"2014-04","693","2175","31.86"
"2014-05","745","2307","32.29"
"2014-06","1002","3192","31.39"
