"year_month","web_transactions","web_visits","conversion_web_sales"
"2012-08","2","8","25.00"
"2012-09","7","39","17.95"
"2012-10","11","72","15.28"
"2012-11","15","89","16.85"
"2012-12","12","70","17.14"
"2013-01","16","94","17.02"
"2013-02","22","148","14.86"
"2013-03","30","175","17.14"
"2013-04","33","172","19.19"
"2013-05","37","187","19.79"
"2013-06","37","209","17.70"
"2013-07","59","326","18.10"
"2013-08","69","351","19.66"
"2013-09","45","244","18.44"
"2013-10","70","357","19.61"
"2013-11","81","411","19.71"
"2013-12","83","424","19.58"
"2014-01","84","350","24.00"
"2014-02","97","485","20.00"
"2014-03","103","487","21.15"
"2014-04","145","657","22.07"
"2014-05","149","662","22.51"
"2014-06","206","837","24.61"
