"year","month","total_product_sales","wines_percent","fruits_percent","meat_percent","fish_percent","sweet_products_percent","gold_products_percent"
"2012","8","3439","29.43","1.83","61.53","2.88","1.45","2.88"
"2012","9","5298","54.34","3.11","22.37","7.85","5.93","6.40"
"2012","10","5973","55.23","2.49","21.50","6.58","5.42","8.77"
"2012","11","15888","50.63","3.17","28.91","6.59","2.61","8.09"
"2012","12","11235","45.73","5.94","29.02","7.33","3.20","8.79"
"2013","1","15811","52.37","3.37","31.78","6.60","3.28","2.60"
"2013","2","14206","47.81","3.80","26.44","5.85","6.60","9.50"
"2013","3","28943","49.79","3.22","32.32","4.87","4.04","5.77"
"2013","4","35787","52.21","4.69","26.06","6.16","4.39","6.48"
"2013","5","35399","49.67","4.00","26.63","5.97","5.77","7.97"
"2013","6","35843","45.46","4.05","34.24","5.51","3.83","6.91"
"2013","7","53145","53.41","3.14","25.81","5.97","4.70","6.97"
"2013","8","66064","49.19","4.48","27.97","6.21","4.59","7.57"
"2013","9","40066","51.14","4.77","25.92","6.16","4.71","7.28"
"2013","10","61704","52.30","4.52","25.93","5.50","4.25","7.50"
"2013","11","74281","49.82","4.36","28.60","6.18","4.03","7.01"
"2013","12","67195","54.55","3.92","23.06","6.10","4.56","7.82"
"2014","1","80859","45.74","4.97","30.92","6.52","4.54","7.31"
"2014","2","78163","53.20","4.41","25.34","5.67","4.34","7.04"
"2014","3","75129","50.50","4.30","28.67","5.72","4.27","6.54"
"2014","4","116858","52.26","4.35","26.33","6.04","4.33","6.70"
"2014","5","122962","47.96","4.56","28.64","6.64","5.10","7.10"
"2014","6","164341","49.50","4.72","27.58","6.47","4.26","7.47"
